scenario,p05,p50,p95,best_rank_probability,no_feasible_probability,samples
hbm2_4hi_1stack,1.4413874905241968,1.58295001864285,1.769086999690303,0.0,0.0305,2000
hbm2_8hi_1stack,1.0,1.0,1.0,0.711,0.0305,2000
hbm2_12hi_1stack,0.62059973734796,0.6918069237379679,0.7588892795043177,0.0,0.0305,2000
hbm2_8hi_2stack,0.7816718662963362,0.9626269147978861,1.1733855650724303,0.111,0.0305,2000
hbm2_8hi_no_pim,0.37510819876893664,0.571176238936531,1.0117441752519263,0.1475,0.0305,2000
